SeqNo,Year,Month,Day,ms,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,09,16,54750072,2,86,4.8,-3276.8,17,0.01,0.03,3.874,45,10,65535,255,2.9,2.48,17,65535,0,65535,1,7,-0.98,-0.95,0.21,0.28,-0.19,-0.13,20.6,528,254,-75,12,37.1,414,423,508,0
1,2016,09,16,54751073,2,86,4.8,-3276.8,17,0.01,0.03,3.874,45,9,65535,255,2.9,1.96,15,65535,0,65535,1,8,-0.98,-0.93,0.21,0.27,-0.19,-0.13,20.6,528,254,4,12,37.1,416,423,508,0
2,2016,09,16,54752072,2,86,4.9,-3276.8,17,0.03,0.09,3.874,45,9,65535,255,2.9,1.96,13,65535,0,65535,1,9,-0.98,-0.91,0.21,0.31,-0.19,-0.06,20.6,528,254,-75,12,37.1,415,422,508,0
3,2016,09,16,54753074,2,86,4.9,-3276.8,16,0.08,0.18,3.874,45,12,65535,255,2.9,2.82,12,65535,0,65535,1,10,-1.07,-0.83,0.2,0.38,-0.21,-0.01,20.6,528,254,3,12,37.1,412,422,507,0
4,2016,09,16,54754075,2,87,5,-3276.8,15,0.04,0.1,3.872,45,14,65535,255,2.9,2.86,10,65535,0,65535,1,11,-1,-0.93,0.18,0.28,-0.18,-0.02,20.6,528,254,3,12,37.1,415,423,508,0
5,2016,09,16,54755075,2,87,5,-3276.8,15,0.02,0.04,3.872,45,15,65535,255,2.9,2.16,9,65535,0,65535,1,12,-1,-0.95,0.19,0.22,-0.18,-0.1,20.7,528,254,-75,12,37.1,416,423,508,0
6,2016,09,16,54756077,2,87,5.1,-3276.8,15,0.02,0.06,3.872,45,15,65535,255,2.9,1.84,8,65535,0,65535,1,13,-1,-0.95,0.18,0.25,-0.18,-0.07,20.7,528,254,-75,12,37.1,416,423,508,0
7,2016,09,16,54757077,2,88,5.1,-3276.8,15,0.01,0.04,3.872,45,15,65535,255,2.9,1.42,7,65535,0,65535,1,14,-1,-0.95,0.19,0.24,-0.15,-0.06,20.7,528,254,-75,12,37.1,417,424,509,0
8,2016,09,16,54758078,2,88,5.2,-3276.8,15,0.01,0.03,3.872,45,13,65535,255,2.9,1.28,6,65535,0,65535,1,15,-0.98,-0.95,0.19,0.24,-0.15,-0.08,20.7,528,254,-75,12,37.1,415,422,507,0
9,2016,09,16,54759081,2,87,5.2,-3276.8,15,0.01,0.04,3.872,45,12,65535,255,2.9,1.3,6,65535,0,65535,1,16,-0.98,-0.93,0.2,0.24,-0.16,-0.07,20.7,528,254,6,12,37.1,415,423,508,0
10,2016,09,16,54760078,2,87,5.6,-3276.8,14,0.01,0.04,3.872,45,11,65535,255,2.9,1.32,5,65535,0,65535,1,17,-1,-0.95,0.2,0.26,-0.15,-0.06,20.7,528,254,-75,12,37.1,422,416,503,0
