SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
19,2016,9,26,53501391,2016_9_26-14_51_41,2,0,17.2,-3276.8,13,0.01,0.09,4.04,73,14,65535,255,0.8,1.24,1,65535,0,65535,0,0,-1.01,-0.95,0.21,0.26,-0.15,-0.01,24.7,531,175,0,12,37.4,416,422,508,0
20,2016,9,26,53502390,2016_9_26-14_51_42,2,0,17.3,-3276.8,13,0.01,0.04,4.04,73,14,65535,255,0.8,0.56,1,65535,0,65535,0,0,-1,-0.95,0.2,0.26,-0.12,-0.01,24.7,531,254,0,12,37.4,416,422,508,0
21,2016,9,26,53503390,2016_9_26-14_51_43,2,0,17.3,-3276.8,13,0.01,0.03,4.04,73,14,65535,255,0.8,0.24,1,65535,0,65535,0,0,-0.98,-0.95,0.21,0.27,-0.12,-0.01,24.7,531,50,0,12,37.4,415,420,507,0
22,2016,9,26,53504391,2016_9_26-14_51_44,2,0,17.3,-3276.8,12,0.02,0.06,4.04,73,14,65535,255,0.8,0.14,1,65535,0,65535,0,0,-0.98,-0.93,0.2,0.28,-0.12,0,24.7,531,254,0,12,37.4,415,422,507,0
23,2016,9,26,53505390,2016_9_26-14_51_45,2,0,17.3,-3276.8,12,0.01,0.03,4.04,73,15,65535,255,0.8,0.08,1,65535,0,65535,0,0,-0.98,-0.96,0.21,0.26,-0.1,-0.02,24.7,531,254,-1,12,37.4,419,420,507,0
24,2016,9,26,53506391,2016_9_26-14_51_46,2,0,17.1,-3276.8,13,0.01,0.03,4.04,73,15,65535,255,0.8,0.06,1,65535,0,65535,0,0,-1,-0.95,0.2,0.26,-0.12,-0.03,24.7,531,254,0,12,37.4,415,422,507,0
25,2016,9,26,53507391,2016_9_26-14_51_47,2,0,17.1,-3276.8,14,0.04,0.08,4.04,73,15,65535,255,0.8,0.04,1,65535,0,65535,0,0,-1.07,-0.95,0.19,0.25,-0.12,-0.02,24.7,531,254,0,12,37.4,416,421,508,0
26,2016,9,26,53508391,2016_9_26-14_51_48,2,0,16.6,-3276.8,14,0.05,0.14,4.04,73,14,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.01,-0.86,0.21,0.37,-0.16,-0.02,24.6,531,254,0,12,37.4,415,422,508,0
27,2016,9,26,53509391,2016_9_26-14_51_49,2,0,16.6,-3276.8,13,0.04,0.08,4.04,73,13,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.95,0.19,0.25,-0.18,-0.01,24.6,531,254,-75,12,37.4,418,423,508,0
28,2016,9,26,53510392,2016_9_26-14_51_50,2,0,16.1,-3276.8,12,0.04,0.09,4.04,73,11,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.04,-0.96,0.14,0.2,-0.18,0,24.6,531,254,-75,12,37.4,415,421,507,0
29,2016,9,26,53511391,2016_9_26-14_51_51,2,0,16.1,-3276.8,11,0.03,0.12,4.04,73,10,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.01,-0.97,0.02,0.22,-0.07,-0.01,24.6,531,254,0,12,37.4,415,421,508,0
30,2016,9,26,53512393,2016_9_26-14_51_52,2,0,15.7,-3276.8,10,0.01,0.07,4.04,73,9,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.02,-0.96,0.12,0.2,-0.08,-0.01,24.6,531,254,-75,12,37.4,415,421,492,0
31,2016,9,26,53513389,2016_9_26-14_51_53,2,0,15.7,-3276.8,10,0.01,0.04,4.04,73,8,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.14,0.2,-0.09,-0.01,24.6,531,254,0,12,37.4,414,421,507,0
32,2016,9,26,53514396,2016_9_26-14_51_54,2,0,15.4,-3276.8,10,0.01,0.03,4.04,73,7,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.97,0.15,0.2,-0.07,0,24.6,531,254,-75,12,37.4,415,422,508,0
33,2016,9,26,53515392,2016_9_26-14_51_55,2,0,15.4,-3276.8,10,0.01,0.03,4.04,73,7,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.97,0.15,0.2,-0.07,0,24.6,531,254,0,12,37.4,415,421,507,0
34,2016,9,26,53516393,2016_9_26-14_51_56,2,0,14.7,-3276.8,10,0.01,0.03,4.04,73,6,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.14,0.21,-0.08,-0.01,24.6,531,254,0,12,37.4,419,430,509,0
35,2016,9,26,53517395,2016_9_26-14_51_57,2,0,14.7,-3276.8,10,0.01,0.03,4.04,73,5,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.13,0.21,-0.08,0,24.6,531,254,-75,12,37.4,416,421,507,0
36,2016,9,26,53518392,2016_9_26-14_51_58,2,0,14.2,-3276.8,10,0.01,0.03,4.04,73,5,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.14,0.2,-0.07,0,24.6,531,254,0,12,37.4,415,420,508,0
37,2016,9,26,53519393,2016_9_26-14_51_59,2,0,14.2,-3276.8,10,0.01,0.03,4.04,73,5,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.95,0.14,0.21,-0.08,-0.01,24.6,531,254,0,12,37.4,415,413,494,0
38,2016,9,26,53520394,2016_9_26-14_52_0,2,0,13.7,-3276.8,10,0.02,0.07,4.04,73,5,65535,255,0.8,0.96,1,65535,0,65535,0,0,-1,-0.97,0.13,0.2,-0.1,0.01,24.6,531,254,-75,12,37.4,416,422,506,0
39,2016,9,26,53521393,2016_9_26-14_52_1,2,57,13.7,-3276.8,10,0.02,0.04,4.04,73,4,65535,255,0.8,0.5,1,65535,0,65535,0,1,-1.03,-0.96,0.13,0.2,-0.12,-0.01,24.6,528,254,0,12,37.4,414,422,508,0
40,2016,9,26,53522393,2016_9_26-14_52_2,2,53,13.5,-3276.8,10,0.02,0.07,4.04,73,4,65535,255,5.864,0.22,1,65535,0,65535,0,0,-1.02,-0.96,0.14,0.21,-0.13,-0.01,24.6,531,254,-5,12,37.4,415,422,507,0
41,2016,9,26,53523395,2016_9_26-14_52_3,2,51,13.5,-3276.8,12,0.04,0.07,4.04,73,4,65535,255,5.864,0.1,1,65535,0,65535,0,0,-1.01,-0.93,0.18,0.26,-0.14,-0.01,24.6,531,254,-75,12,37.4,417,423,508,0
42,2016,9,26,53524393,2016_9_26-14_52_4,2,51,13.4,-3276.8,12,0.01,0.07,4.04,73,4,65535,255,0,0.04,1,65535,0,65535,0,0,-0.98,-0.95,0.16,0.22,-0.14,-0.04,24.6,531,254,0,12,37.4,415,422,507,0
43,2016,9,26,53525394,2016_9_26-14_52_5,2,50,13.4,-3276.8,12,0.01,0.12,4.04,73,4,65535,255,0,0.06,1,65535,0,65535,0,0,-0.98,-0.96,0.01,0.22,-0.13,-0.04,24.6,531,254,-75,12,37.4,415,420,508,0
44,2016,9,26,53526395,2016_9_26-14_52_6,2,50,13.2,-3276.8,12,0.01,0.1,4.04,73,4,65535,255,0.6,0.06,1,65535,0,65535,0,0,-1,-0.97,0.01,0.2,-0.13,-0.06,24.6,531,254,0,12,37.4,419,426,492,0
45,2016,9,26,53527395,2016_9_26-14_52_7,2,50,13.2,-3276.8,12,0.01,0.03,4.04,73,4,65535,255,0.6,0.04,1,65535,0,65535,0,0,-1.01,-0.95,0.15,0.21,-0.13,-0.04,24.6,531,254,0,12,37.4,415,421,508,0
46,2016,9,26,53528394,2016_9_26-14_52_8,2,50,13.1,-3276.8,12,0.03,0.07,4.04,73,4,65535,255,0.08,0.02,1,65535,0,65535,0,0,-1.01,-0.95,0.18,0.24,-0.1,-0.01,24.6,531,254,0,12,37.4,416,421,508,0
47,2016,9,26,53529394,2016_9_26-14_52_9,2,50,13.1,-3276.8,12,0.02,0.04,4.04,73,4,65535,255,0.08,0.02,1,65535,0,65535,0,0,-1,-0.96,0.19,0.24,-0.08,-0.01,24.6,531,254,-6,12,37.4,415,421,508,0
48,2016,9,26,53530395,2016_9_26-14_52_10,2,50,13.3,-3276.8,12,0.01,0.03,4.04,73,4,65535,255,0.06,0.02,1,65535,0,65535,0,0,-1,-0.96,0.2,0.24,-0.08,-0.02,24.6,531,215,0,12,37.4,415,422,508,0
49,2016,9,26,53531395,2016_9_26-14_52_11,2,0,13.3,-3276.8,12,0.01,0.04,4.04,73,3,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.2,0.25,-0.1,-0.01,24.6,531,254,-1,12,37.4,415,421,507,0
50,2016,9,26,53532396,2016_9_26-14_52_12,2,0,13.5,-3276.8,12,0.01,0.03,4.04,73,4,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.19,0.22,-0.09,-0.02,24.6,531,254,0,12,37.4,415,421,507,0
51,2016,9,26,53533401,2016_9_26-14_52_13,2,0,13.5,-3276.8,12,0.01,0.03,4.04,73,4,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.95,0.19,0.24,-0.09,-0.01,24.6,531,254,0,12,37.4,413,423,507,0
52,2016,9,26,53534401,2016_9_26-14_52_14,2,0,13.6,-3276.8,-11,0.09,0.21,4.04,73,5,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.13,-0.95,0.15,0.22,-0.06,0.16,24.6,531,254,-8,12,37.4,416,422,507,0
53,2016,9,26,53535401,2016_9_26-14_52_15,2,0,13.6,-3276.8,-11,0.05,0.18,4.04,73,9,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.03,-0.96,0.03,0.22,-0.02,0.13,24.6,531,254,0,12,37.4,414,422,507,0
54,2016,9,26,53536401,2016_9_26-14_52_16,2,0,13.5,-3276.8,-11,0.02,0.06,4.04,73,10,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.95,0.19,0.25,-0.03,0.07,24.6,531,254,-75,12,37.4,415,421,508,0
55,2016,9,26,53537397,2016_9_26-14_52_17,2,0,13.5,-3276.8,12,0.02,0.04,4.04,73,11,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.18,0.22,-0.04,0.02,24.6,531,254,-75,12,37.4,416,423,508,0
56,2016,9,26,53538401,2016_9_26-14_52_18,2,0,13,-3276.8,12,0.01,0.02,4.04,73,11,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.01,-0.96,0.19,0.22,-0.03,0.02,24.6,531,254,-75,12,37.4,415,421,507,0
57,2016,9,26,53539394,2016_9_26-14_52_19,2,0,13,-3276.8,11,0.01,0.02,4.04,73,11,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.18,0.22,-0.03,0.01,24.6,531,254,0,12,37.4,416,422,507,0
58,2016,9,26,53540401,2016_9_26-14_52_20,2,0,12.6,-3276.8,11,0.01,0.12,4.04,73,9,65535,255,0.8,0.02,1,65535,0,65535,0,0,-0.98,-0.96,0.18,0.38,-0.03,0.01,24.6,531,254,0,12,37.4,416,422,506,0
59,2016,9,26,53541401,2016_9_26-14_52_21,2,0,12.6,-3276.8,11,0,0.03,4.04,73,9,65535,255,0.8,0.02,1,65535,0,65535,0,0,-0.98,-0.96,0.18,0.21,-0.06,0.01,24.6,531,254,0,12,37.4,415,422,507,0
60,2016,9,26,53542395,2016_9_26-14_52_22,2,0,12.3,-3276.8,11,0.01,0.02,4.04,73,8,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.16,0.22,-0.04,0.01,24.6,531,254,0,12,37.4,415,421,508,0
61,2016,9,26,53543401,2016_9_26-14_52_23,2,0,12.3,-3276.8,11,0,0.02,4.04,73,7,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.16,0.22,-0.04,0.01,24.6,531,254,-6,12,37.4,415,421,508,0
62,2016,9,26,53544402,2016_9_26-14_52_24,2,0,12.2,-3276.8,11,0,0.02,4.04,73,7,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.97,0.16,0.21,-0.04,0.01,24.6,531,254,-75,12,37.4,416,422,507,0
63,2016,9,26,53545402,2016_9_26-14_52_25,2,0,12.2,-3276.8,11,0.01,0.02,4.04,73,6,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.16,0.21,-0.04,0,24.6,531,254,-6,12,37.4,415,421,507,0
64,2016,9,26,53546402,2016_9_26-14_52_26,2,0,12.5,-3276.8,11,0.01,0.02,4.04,73,6,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.16,0.21,-0.04,0,24.6,531,254,0,12,37.4,416,422,507,0
65,2016,9,26,53547401,2016_9_26-14_52_27,2,0,12.5,-3276.8,11,0.01,0.02,4.04,73,6,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.16,0.22,-0.04,0,24.6,531,254,-75,12,37.4,417,427,494,0
66,2016,9,26,53548403,2016_9_26-14_52_28,2,0,13.1,-3276.8,11,0.01,0.02,4.04,73,6,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.16,0.22,-0.04,0.01,24.6,531,254,-4,12,37.4,415,421,507,0
67,2016,9,26,53549404,2016_9_26-14_52_29,2,0,13.1,-3276.8,11,0.01,0.03,4.04,73,5,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.15,0.21,-0.06,0,24.6,531,254,-75,12,37.4,416,420,508,0
68,2016,9,26,53550403,2016_9_26-14_52_30,2,0,13.5,-3276.8,11,0,0.03,4.04,73,5,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.15,0.21,-0.07,0,24.6,531,254,0,12,37.4,415,421,508,0
69,2016,9,26,53551403,2016_9_26-14_52_31,2,0,13.5,-3276.8,11,0.01,0.02,4.04,73,4,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.18,0.2,-0.06,0,24.6,531,254,0,12,37.4,423,428,512,0
70,2016,9,26,53552404,2016_9_26-14_52_32,2,0,13.7,-3276.8,11,0.01,0.03,4.04,73,4,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.95,0.15,0.21,-0.06,0,24.6,531,254,-75,12,37.4,415,421,507,0
71,2016,9,26,53553403,2016_9_26-14_52_33,2,0,13.7,-3276.8,11,0.01,0.03,4.04,73,4,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.16,0.21,-0.07,0.01,24.6,531,254,-75,12,37.4,415,421,508,0
72,2016,9,26,53554404,2016_9_26-14_52_34,2,0,14.4,-3276.8,11,0.01,0.13,4.04,73,4,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.97,0.16,0.21,-0.06,0.16,24.6,531,215,0,12,37.4,415,421,508,0
73,2016,9,26,53555404,2016_9_26-14_52_35,2,0,14.4,-3276.8,12,0.02,0.06,4.04,73,5,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.02,-0.95,0.16,0.26,-0.07,0,24.6,531,254,-75,12,37.4,416,421,508,0
74,2016,9,26,53556403,2016_9_26-14_52_36,2,0,15.1,-3276.8,12,0.02,0.07,4.04,73,5,65535,255,0.8,1.44,1,65535,0,65535,0,1,-1,-0.95,0.19,0.25,-0.1,0,24.6,528,254,-2,12,37.4,415,422,507,0
75,2016,9,26,53557405,2016_9_26-14_52_37,2,0,15.1,-3276.8,12,0.01,0.06,4.04,73,5,65535,255,0.8,0.62,1,65535,0,65535,0,0,-0.98,-0.93,0.21,0.27,-0.07,-0.01,24.6,531,254,-75,12,37.4,415,420,508,0
76,2016,9,26,53558403,2016_9_26-14_52_38,2,0,15.7,-3276.8,13,0.05,0.07,4.04,73,6,65535,255,0.8,7.5,1,65535,0,65535,0,0,-1,-0.95,0.2,0.28,-0.1,-0.01,24.6,531,254,0,12,37.4,428,429,520,0
77,2016,9,26,53559405,2016_9_26-14_52_39,2,0,15.7,-3276.8,14,0.07,0.1,4.04,73,7,65535,255,0.8,7.4,1,65535,0,65535,0,0,-1.01,-0.95,0.19,0.26,-0.19,-0.01,24.6,531,254,-1,12,37.4,415,420,507,0
78,2016,9,26,53560405,2016_9_26-14_52_40,2,0,16.2,-3276.8,-6,0.42,0.46,4.04,73,10,65535,255,0.8,18.78,1,65535,0,65535,0,0,-1.32,-0.79,-0.15,0.38,-0.24,0.18,24.6,531,254,-75,12,37.4,416,423,508,0
79,2016,9,26,53561405,2016_9_26-14_52_41,2,73,16.2,-3276.8,9,0.14,0.61,4.04,73,10,65535,255,0.8,10.56,1,65535,0,65535,0,1,-1.34,-0.6,-0.42,0.4,-0.16,0.37,24.6,528,254,0,12,37.4,414,422,507,0
80,2016,9,26,53562405,2016_9_26-14_52_42,2,77,16.7,-3276.8,13,0.11,0.32,4.04,73,10,65535,255,11.704,13.96,1,65535,0,65535,0,0,-1.01,-0.93,0.16,0.39,-0.19,0.07,24.6,531,254,-7,12,37.4,415,422,507,0
81,2016,9,26,53563405,2016_9_26-14_52_43,2,79,16.7,-3276.8,15,0.05,0.22,4.04,73,11,65535,255,11.704,10.22,1,65535,0,65535,1,0,-1.03,-0.87,0.21,0.43,-0.16,0.02,24.6,528,254,-12,12,37.4,405,412,476,0
82,2016,9,26,53564403,2016_9_26-14_52_44,2,79,17.1,-3276.8,15,0.02,0.1,4.04,73,10,65535,255,9.264,4.7,1,65535,0,65535,0,0,-1,-0.93,0.24,0.34,-0.08,0.01,24.6,531,254,0,12,37.4,415,421,507,0
83,2016,9,26,53565405,2016_9_26-14_52_45,2,80,17.1,-3276.8,15,0.02,0.09,4.04,73,9,65535,255,9.264,2.02,1,65535,0,65535,0,0,-0.98,-0.95,0.22,0.3,-0.06,0.07,24.6,531,254,0,12,37.4,415,421,508,0
84,2016,9,26,53566405,2016_9_26-14_52_46,2,80,17.5,-3276.8,15,0.01,0.1,4.04,73,8,65535,255,0,0.92,1,65535,0,65535,0,0,-0.98,-0.95,0.22,0.3,-0.2,0,24.6,531,254,0,12,37.4,414,421,507,0
85,2016,9,26,53567403,2016_9_26-14_52_47,2,80,17.5,-3276.8,15,0.02,0.04,4.04,73,7,65535,255,0,0.4,1,65535,0,65535,0,0,-0.98,-0.95,0.21,0.3,-0.06,0,24.6,531,55,-75,12,37.4,414,420,507,0
86,2016,9,26,53568403,2016_9_26-14_52_48,2,80,17.9,-3276.8,15,0.01,0.06,4.04,73,6,65535,255,0,0.18,1,65535,0,65535,0,0,-0.98,-0.95,0.24,0.32,-0.06,0.02,24.6,531,254,-8,12,37.4,415,421,507,0
87,2016,9,26,53569405,2016_9_26-14_52_49,2,80,17.9,-3276.8,15,0.02,0.04,4.04,73,6,65535,255,0,9.28,1,65535,0,65535,0,0,-0.98,-0.93,0.24,0.32,-0.07,0.01,24.6,531,254,-75,12,37.4,415,421,507,0
88,2016,9,26,53570405,2016_9_26-14_52_50,2,80,18.2,-3276.8,15,0.01,0.04,4.04,73,5,65535,255,0,4.28,1,65535,0,65535,0,0,-1.01,-0.95,0.24,0.32,-0.07,0.02,24.6,531,254,0,12,37.4,410,407,509,0
89,2016,9,26,53571405,2016_9_26-14_52_51,2,0,18.2,-3276.8,15,0.02,0.03,4.04,73,4,65535,255,0.8,1.84,1,65535,0,65535,0,0,-0.98,-0.93,0.25,0.32,-0.07,0.01,24.6,531,254,-75,12,37.4,415,421,507,0
90,2016,9,26,53572405,2016_9_26-14_52_52,2,0,16.4,-3276.8,15,0.02,0.03,4.04,73,4,65535,255,0.8,0.84,1,65535,0,65535,0,0,-0.98,-0.95,0.22,0.31,-0.07,0.01,24.6,531,254,-75,12,37.4,420,428,509,0
91,2016,9,26,53573399,2016_9_26-14_52_53,2,0,16.4,-3276.8,15,0.01,0.08,4.04,73,4,65535,255,0.8,0.36,1,65535,0,65535,0,0,-1,-0.93,0.21,0.34,-0.12,0.03,24.6,531,254,0,12,37.4,415,422,507,0
92,2016,9,26,53574406,2016_9_26-14_52_54,2,0,15.4,-3276.8,15,0.01,0.04,4.04,73,3,65535,255,0.8,3.78,1,65535,0,65535,0,0,-0.98,-0.93,0.22,0.32,-0.04,-0.01,24.6,531,254,-75,12,37.4,415,421,508,0
93,2016,9,26,53575405,2016_9_26-14_52_55,2,0,15.4,-3276.8,15,0.01,0.04,4.04,73,3,65535,255,0.8,5.12,1,65535,0,65535,0,0,-0.98,-0.95,0.22,0.32,-0.06,0.01,24.6,531,254,0,12,37.4,415,421,507,0
94,2016,9,26,53576399,2016_9_26-14_52_56,2,0,14.4,-3276.8,15,0.01,0.04,4.04,73,3,65535,255,0.8,2.36,1,65535,0,65535,0,0,-0.98,-0.95,0.24,0.32,-0.06,0,24.6,531,254,0,12,37.4,415,420,507,0
95,2016,9,26,53577403,2016_9_26-14_52_57,2,0,14.4,-3276.8,15,0.01,0.03,4.04,73,3,65535,255,0.8,1.02,1,65535,0,65535,0,0,-0.98,-0.96,0.24,0.31,-0.08,0,24.6,531,254,0,12,37.4,408,413,489,0
96,2016,9,26,53578403,2016_9_26-14_52_58,2,0,13.6,-3276.8,15,0.01,0.04,4.04,73,2,65535,255,0.8,0.46,1,65535,0,65535,0,0,-0.98,-0.96,0.24,0.32,-0.06,0,24.6,531,254,-75,12,37.4,415,421,507,0
97,2016,9,26,53579403,2016_9_26-14_52_59,2,0,13.6,-3276.8,15,0.02,0.03,4.04,73,2,65535,255,0.8,0.34,1,65535,0,65535,0,0,-0.98,-0.95,0.24,0.32,-0.04,0.01,24.6,531,254,0,12,37.4,416,422,508,0
98,2016,9,26,53580405,2016_9_26-14_53_0,2,0,12.8,-3276.8,15,0.01,0.06,4.04,73,2,65535,255,0.8,0.3,1,65535,0,65535,0,1,-1.02,-0.9,0.21,0.31,-0.09,0.03,24.6,528,254,-4,12,37.4,415,421,507,0
99,2016,9,26,53581405,2016_9_26-14_53_1,2,65,12.8,-3276.8,15,0.01,0.03,4.04,73,2,65535,255,0.8,0.26,1,65535,0,65535,0,2,-0.98,-0.95,0.22,0.3,-0.06,0,24.6,528,254,-1,12,37.4,416,421,508,0
100,2016,9,26,53582399,2016_9_26-14_53_2,2,73,12.5,-3276.8,15,0.02,0.04,4.04,73,2,65535,255,1.14,0.24,1,65535,0,65535,0,3,-1,-0.96,0.22,0.31,-0.08,0.01,24.6,528,254,-75,12,37.4,415,422,507,0
101,2016,9,26,53583403,2016_9_26-14_53_3,2,69,12.5,-3276.8,15,0.01,0.03,4.04,73,2,65535,255,1.14,0.22,1,65535,0,65535,0,4,-0.98,-0.95,0.21,0.31,-0.07,0.01,24.6,528,254,0,12,37.4,414,421,508,0
102,2016,9,26,53584401,2016_9_26-14_53_4,2,67,12.4,-3276.8,15,0.01,0.03,4.04,73,2,65535,255,1.14,0.22,1,65535,0,65535,1,0,-0.98,-0.95,0.22,0.3,-0.04,0,24.6,528,254,0,12,37.4,410,424,510,0
103,2016,9,26,53585405,2016_9_26-14_53_5,2,66,12.4,-3276.8,15,0.01,0.03,4.04,73,2,65535,255,1.14,0.22,1,65535,0,65535,1,1,-0.98,-0.95,0.22,0.3,-0.06,0,24.6,528,254,-75,12,37.4,416,421,507,0
104,2016,9,26,53586404,2016_9_26-14_53_6,2,66,13,-3276.8,15,0.01,0.03,4.04,73,2,65535,255,1.22,0.58,1,65535,0,65535,1,2,-0.98,-0.95,0.22,0.3,-0.07,-0.01,24.6,528,254,0,12,37.4,416,421,507,0
105,2016,9,26,53587404,2016_9_26-14_53_7,2,66,13,-3276.8,15,0.02,0.1,4.04,73,2,65535,255,1.22,0.34,1,65535,0,65535,0,0,-1,-0.89,0.22,0.36,-0.2,0.01,24.6,531,254,0,12,37.4,415,421,506,0
106,2016,9,26,53588404,2016_9_26-14_53_8,2,65,13.5,-3276.8,15,0.01,0.08,4.04,73,2,65535,255,1.22,3.1,1,65535,0,65535,0,1,-1.01,-0.92,0.24,0.34,-0.04,0,24.6,528,254,0,12,37.4,417,425,508,0
107,2016,9,26,53589404,2016_9_26-14_53_9,2,65,13.5,-3276.8,15,0.01,0.03,4.04,73,2,65535,255,1.22,1.34,1,65535,0,65535,0,0,-0.98,-0.95,0.24,0.31,-0.06,0,24.6,531,254,0,12,37.4,415,420,508,0
108,2016,9,26,53590404,2016_9_26-14_53_10,2,65,14.2,-3276.8,15,0.02,0.04,4.04,73,2,65535,255,1.22,0.62,1,65535,0,65535,0,0,-0.98,-0.93,0.24,0.31,-0.08,-0.01,24.6,531,254,0,12,37.4,415,421,507,0
109,2016,9,26,53591404,2016_9_26-14_53_11,2,65,14.2,-3276.8,16,0.02,0.09,4.04,73,2,65535,255,1.22,4.14,1,65535,0,65535,0,0,-1,-0.91,0.24,0.32,-0.12,0.01,24.6,531,254,0,12,37.4,415,420,508,0
110,2016,9,26,53592404,2016_9_26-14_53_12,2,65,14.9,-3276.8,16,0.01,0.04,4.04,73,2,65535,255,1.22,2.1,1,65535,0,65535,0,0,-1.01,-0.93,0.24,0.32,-0.08,0,24.6,531,254,0,12,37.4,415,421,507,0
111,2016,9,26,53593404,2016_9_26-14_53_13,2,65,14.9,-3276.8,16,0.01,0.04,4.04,73,2,65535,255,1.22,2.98,1,65535,0,65535,0,0,-0.98,-0.95,0.25,0.31,-0.07,0.01,24.6,531,254,0,12,37.4,415,421,493,0
112,2016,9,26,53594404,2016_9_26-14_53_14,2,65,15.2,-3276.8,16,0.01,0.04,4.04,73,2,65535,255,0.64,1.42,1,65535,0,65535,0,0,-0.98,-0.95,0.25,0.32,-0.08,-0.01,24.6,531,254,-75,12,37.4,414,421,507,0
113,2016,9,26,53595405,2016_9_26-14_53_15,2,65,15.2,-3276.8,16,0.01,0.04,4.04,73,2,65535,255,0.64,0.6,1,65535,0,65535,0,0,-0.98,-0.95,0.24,0.32,-0.07,0,24.6,531,254,0,12,37.4,426,426,512,0
114,2016,9,26,53596405,2016_9_26-14_53_16,2,65,15.5,-3276.8,16,0.01,0.03,4.04,73,2,65535,255,0.64,0.52,1,65535,0,65535,0,0,-0.97,-0.93,0.25,0.32,-0.07,0,24.6,531,254,-75,12,37.4,415,421,507,0
115,2016,9,26,53597404,2016_9_26-14_53_17,2,0,15.5,-3276.8,16,0.01,0.04,4.04,73,2,65535,255,0.8,0.36,1,65535,0,65535,0,1,-0.98,-0.95,0.24,0.33,-0.08,-0.01,24.6,528,254,0,12,37.4,416,420,508,0
116,2016,9,26,53598405,2016_9_26-14_53_18,2,57,16,-3276.8,17,0.01,0.03,4.04,73,2,65535,255,0.8,0.3,1,65535,0,65535,3,0,-0.98,-0.95,0.25,0.32,-0.08,-0.01,24.6,528,254,-9,12,37.4,415,421,508,0
117,2016,9,26,53599405,2016_9_26-14_53_19,2,66,16,-3276.8,17,0.01,0.04,4.04,73,2,65535,255,1.04,0.28,1,65535,0,65535,3,1,-0.98,-0.95,0.25,0.34,-0.08,-0.01,24.6,528,254,-75,12,37.4,415,421,507,0
118,2016,9,26,53600405,2016_9_26-14_53_20,2,72,16.8,-3276.8,17,0.01,0.04,4.04,73,2,65535,255,1.04,0.26,1,65535,0,65535,3,2,-0.98,-0.95,0.25,0.34,-0.08,0,24.6,528,254,0,12,37.4,416,421,508,0
119,2016,9,26,53601405,2016_9_26-14_53_21,2,74,16.8,-3276.8,17,0.01,0.03,4.04,73,2,65535,255,0.98,0.24,1,65535,0,65535,3,3,-0.98,-0.93,0.25,0.32,-0.08,-0.01,24.6,528,254,0,12,37.4,416,421,507,0
